method,Z1,Z2,Z3_MAD,Z
baseline,112236.00000000001,12051.0,734696.0156133826,1.0
ALNS (fixed),25256.0,15707.099999999997,492837.3925650558,0.637689502322945
CTS,26049.6,15029.499999999996,459101.08996282547,0.6151728556352716
