method,Z1,Z2,Z3,Z
baseline,112236.00000000001,12051.0,734696.0156133826,1.0
Variance,26049.0,17038.299999999996,1396470031.8475835,0.6256200712370881
MAD,25256.0,15707.099999999997,492837.3925650558,0.637689502322945
