method,Z1,Z2,Z3_MAD,Z
baseline,112236.00000000001,12051.0,734696.0156133826,1.0
local,112236.00000000001,12680.3,758680.3271375466,1.0221949634218213
ALSM (MAD),25256.0,15707.099999999997,492837.3925650558,0.637689502322945
